"cd_nom","nom_complet"
"4189","Acrocephalus schoenobaenus (Linnaeus, 1758) [Espèce - 4189]"
"4187","Acrocephalus schoenobaenus (Linnaeus, 1758) [Espèce - 4187]"
"4179","Acrocephalus scirpaceus (Hermann, 1804) [Espèce - 4179]"
"4197","Acrocephalus scirpaceus (Hermann, 1804) [Espèce - 4197]"
"4195","Acrocephalus scirpaceus (Hermann, 1804) [Espèce - 4195]"
"4179","Acrocephalus scirpeus  [Espèce - 4179]"
"4197","Acrocephalus scirpeus  [Espèce - 4197]"
"4195","Acrocephalus scirpeus  [Espèce - 4195]"
"4201","Acrocephalus turdoides (Meyer, 1815) [Espèce - 4201]"
"4198","Acrocephalus turdoides (Meyer, 1815) [Espèce - 4198]"
"962046","Acrocephalus turdoides (Meyer, 1815) [Espèce - 962046]"
"4200","Acrocephalus turdoides (Meyer, 1815) [Espèce - 4200]"
"199230","Actites Billberg, 1828 [Genre - 199230]"
"188807","Actites Billberg, 1828 [Genre - 188807]"
"2618","Actites hypoleucos (Linnaeus, 1758) [Espèce - 2618]"
"199361","Actites hypoleucos (Linnaeus, 1758) [Espèce - 199361]"
"2616","Actites hypoleucos (Linnaeus, 1758) [Espèce - 2616]"
"2618","Actitis hypoleucos (Linnaeus, 1758) [Espèce - 2618]"
"199361","Actitis hypoleucos (Linnaeus, 1758) [Espèce - 199361]"
"2616","Actitis hypoleucos (Linnaeus, 1758) [Espèce - 2616]"
"188807","Actitis Illiger, 1811 [Genre - 188807]"
"199230","Actitis Illiger, 1811 [Genre - 199230]"
"186115","Aegithalidae Reichenbach, 1850 [Famille - 186115]"
"999999","Couillon des Alpes"
